sample_1	sample_2	ANI	MASH	dDDH	population
SRR2584438	SRR2584520	99.741	0.0175349	0.9949238578680203	Ara+1
SRR2584438	SRR2584521	99.5586	0.0186813	0.9971147318397827	Ara+1
SRR2584438	SRR2584522	97.2854	0.0167251	0.9963642373161461	Ara+1
SRR2584438	SRR2086043	99.6503	0.0184965	0.996513470681458	Ara+1
SRR2584438	SRR2086070	99.463	0.0326168	0.9958299919807538	Ara+1
SRR2584438	SRR2584524	99.6954	0.178173	0.9946977730646872	Ara+1
SRR2584438	SRR2584534	95.0644	1	0.9670774543073167	Ara+1
SRR2584438	SRR22764941	98.5467	0.210897	0.966749307277235	Ara+1
SRR2584462	SRR2584463	98.65	0.0170687	0.9976243268926196	Ara+1
SRR2584462	SRR2584464	97.345	0.0234513	0.9987002437043054	Ara+1
SRR2584462	SRR2584466	99.1934	0.0210864	0.9969289827255279	Ara+1
SRR2584462	SRR2584467	98.1156	0.0178909	0.9934449093444909	Ara+1
SRR2584462	SRR2584470	99.7908	0.0193714	0.9945163104611924	Ara+1
SRR2584462	SRR2584490	98.7773	0.0212234	0.9975047702920886	Ara+1
SRR2584462	SRR2584518	99.6271	0.0186195	0.9960369881109643	Ara+1
SRR2584462	SRR2584508	99.6658	0.0269047	0.9957113280094646	Ara+1
SRR2584462	SRR2584519	99.6337	0.0300913	0.9960629921259843	Ara+1
SRR2584462	SRR2584520	96.9819	0.015998	0.994161032575292	Ara+1
SRR2584462	SRR2584521	99.6288	0.0208145	0.9947260973120109	Ara+1
SRR2584462	SRR2584522	99.714	0.0140996	0.9974731522425774	Ara+1
SRR2584462	SRR2086043	96.3863	0.0151342	0.9964783340989128	Ara+1
SRR2584462	SRR2086070	97.5407	0.0348125	0.9948337100419761	Ara+1
SRR2584462	SRR2584524	99.7322	0.186761	0.9906766116142781	Ara+1
SRR2584462	SRR2584534	99.2004	0.295981	0.9869621903520208	Ara+1
SRR2584462	SRR22764941	97.0869	0.191731	0.9670748299319728	Ara+1
SRR2584463	SRR2584464	99.2536	0.0198213	0.9971350613915416	Ara+1
SRR2584463	SRR2584466	97.9047	0.016782	0.9978712952349763	Ara+1
